,ATL,BOS,BWI,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0,11469,10033,2096,9251,10711,11336,8115,9146,13216,1044,3358,6204,3632,10400,14943,19433,13483,7019,1705,9204,5988,12937,10792,6266,3233,4266,6299,3959,9005
BOS,11491,0,8031,4758,12208,6670,6153,4252,6085,11342,939,2860,3195,2914,5700,13185,9906,14470,2589,588,5572,4134,11173,7669,5431,4833,4534,12612,3453,8350
BWI,9827,7984,0,3583,0,3883,3058,3908,241,13992,904,0,2832,370,6028,6620,5,14458,4912,848,2600,3090,3948,10,4056,4706,2744,2561,2283,6873
CLT,2178,5008,3720,0,2191,3724,4463,1993,6145,2046,329,1078,2813,3859,2623,3254,7352,4253,658,953,2030,2161,4787,3611,2807,1462,1223,2244,1391,2451
DCA,9085,12200,0,2121,0,5123,4858,3456,804,5442,507,0,2344,1853,2541,6275,4897,10292,3123,995,6112,3484,8479,70,3202,1917,2424,3606,2076,6129
DEN,10667,6875,3988,3714,5152,0,11887,5823,5361,6865,1766,6552,7897,3983,16723,19816,8957,10898,6673,1390,4795,10719,11864,6486,20817,9474,10571,12816,8269,6895
DFW,11241,6213,3030,4461,4825,11621,0,5883,5650,5716,1314,2887,3893,1524,10188,15213,12250,9904,38,1739,3890,6752,14879,7015,7506,4574,4989,6933,4687,4606
DTW,8100,4286,3989,1895,3428,5824,5931,0,3441,11365,719,1128,4335,966,9123,6516,8328,15538,1851,657,5076,3309,4829,2478,6987,2579,2231,3432,1710,10044
EWR,8886,6160,238,5863,774,5179,5370,3428,0,20517,1529,519,7806,0,7874,15336,0,23376,2879,765,8427,3040,9613,0,6877,3979,4657,15572,2736,8365
FLL,13049,11386,14335,1937,5578,6811,5698,11124,20594,0,260,2610,3831,13189,4489,6939,16122,1522,4866,926,0,4246,10975,10887,2331,1961,2465,4773,2526,2720
HNL,1055,1028,884,316,517,1749,1268,725,1628,254,0,991,840,1909,4966,12832,197,654,6,123,227,1806,1994,514,2239,3508,5457,6332,2055,377
IAD,3196,2907,0,1036,0,6419,2771,1135,584,2566,966,0,1341,1264,3787,7649,968,5744,36,145,1482,900,1772,91,1355,2295,2419,6709,1087,2694
IAH,6223,3272,2835,2701,2384,7728,3785,4225,7806,3857,897,1342,0,214,6839,9055,5942,6091,44,833,4018,2646,8330,2751,2938,3376,3686,4269,2981,3504
JFK,3523,2836,362,3693,1864,4057,1619,930,0,13099,1898,1277,217,0,12159,34529,0,13933,19,143,8309,2166,3301,42,6544,5618,5761,20868,5849,5695
LAS,10491,5793,6092,2586,2460,17024,10390,9085,7932,4546,5068,3816,6776,11970,0,21358,1098,5516,7027,2040,4751,11710,13176,6478,10090,10003,14712,17252,5985,4081
LAX,15097,13709,6816,3201,6373,19701,15507,6493,15182,6885,12781,7850,9201,35003,20781,0,2115,13655,5497,1659,8057,8275,20180,9195,13159,718,17669,32078,9859,3018
LGA,19276,10154,2,7229,4815,8544,12417,8376,0,16166,181,897,5924,0,1152,2395,0,11700,4925,1531,18095,4809,26260,29,762,672,342,959,874,5481
MCO,13145,14497,14472,4050,10195,11045,9880,15242,23395,1659,657,5767,6076,13954,5451,13720,11288,0,8933,2637,2452,13181,15183,18898,5907,4339,4417,6213,4726,0
MDW,7094,2581,4911,643,3112,6594,43,1849,2871,4475,7,29,43,16,6806,5306,4990,8693,0,708,36,5628,0,2176,8202,2783,1082,1549,1061,5324
MEM,1947,610,849,914,976,1297,1682,668,784,956,123,146,844,161,2036,1663,1504,2702,739,0,549,666,1441,807,853,569,379,570,459,1097
MIA,9068,5807,2499,1943,6236,4741,3817,4915,8710,0,202,1498,4034,8286,4572,8169,18686,2390,39,561,0,4475,10988,5641,2184,1845,1282,4877,1354,2394
MSP,6006,4132,3141,2141,3446,10854,6806,3339,2928,4335,1790,890,2649,2127,11894,8398,4847,13452,5807,689,4484,0,9770,2965,17588,4678,3689,6507,2462,8262
ORD,13010,11476,4076,4658,8592,11884,14642,4932,9717,10849,1978,1732,8394,3218,13049,20296,25997,15426,0,1475,11061,9697,0,6629,14664,6132,6315,12590,4018,10588
PHL,10955,7949,13,3416,73,6537,6811,2522,1,10782,529,81,2718,38,6400,9225,61,18869,2188,810,5532,2984,6289,0,5374,2814,2102,5353,1974,10036
PHX,6021,5532,4171,2803,3182,20947,7520,6924,6736,2252,2224,1371,2937,6543,9907,13407,773,5932,8130,849,2429,17404,14566,5441,0,8051,15176,8705,7744,3153
SAN,3384,4894,4756,1427,1940,9520,4528,2561,3854,1858,3469,2258,3425,5615,9676,699,641,4223,2739,541,1798,4630,6144,2912,7992,0,10541,15739,6011,1882
SEA,4206,4542,2643,1187,2480,10821,5030,2223,4698,2428,5364,2397,3669,5657,14441,17732,353,4321,1110,410,1273,3697,6316,2024,15237,10531,0,13614,4963,2272
SFO,6312,12856,2524,2168,3733,12529,7001,3420,15476,4688,6261,6735,4172,20998,16353,31880,849,6044,1540,512,4762,6515,12525,5295,8629,15467,13857,0,4541,1922
SLC,3952,3634,2279,1376,2073,8512,4692,1679,2733,2600,2009,1134,3039,5860,6060,10156,908,4716,1155,474,1417,2435,4028,2003,7841,6052,5037,4462,0,1596
TPA,8817,8101,6832,2294,6043,6879,4617,9782,8221,2774,349,2691,3535,5621,4002,2940,5541,0,5731,1073,2431,8208,10418,10107,3190,1826,2314,1980,1568,0
