,ATL,BOS,BWL,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0.0,17267.0,0.0,1877.0,10268.0,11429.0,11858.0,10344.0,9752.0,14479.0,1259.0,3709.0,6432.0,6250.0,10356.0,16019.0,22983.0,13861.0,7827.0,1766.0,9279.0,7195.0,14232.0,11340.0,5390.0,3882.0,7128.0,6606.0,4145.0,9034.0
BOS,17088.0,0.0,0.0,6311.0,15050.0,11456.0,9838.0,7586.0,6697.0,7752.0,1127.0,3964.0,4831.0,3143.0,6582.0,20044.0,10248.0,12787.0,4674.0,841.0,4882.0,11061.0,20251.0,10195.0,5509.0,6142.0,9800.0,20147.0,4202.0,7262.0
BWL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLT,1967.0,6580.0,0.0,0.0,2610.0,4645.0,4842.0,2666.0,6247.0,1903.0,375.0,1428.0,2885.0,5125.0,2955.0,3718.0,9379.0,3759.0,978.0,1047.0,1954.0,2948.0,6265.0,4288.0,2435.0,1756.0,2319.0,3349.0,1294.0,2155.0
DCA,10173.0,15174.0,0.0,2529.0,0.0,5678.0,5444.0,3889.0,875.0,5342.0,584.0,0.0,2883.0,2488.0,2556.0,6649.0,4757.0,9726.0,3802.0,1650.0,6376.0,4214.0,10640.0,98.0,2818.0,2481.0,3246.0,4171.0,2044.0,5468.0
DEN,11436.0,11443.0,0.0,4570.0,5692.0,0.0,12841.0,9317.0,7433.0,5067.0,1734.0,7872.0,8752.0,6094.0,15983.0,19716.0,11644.0,8874.0,8146.0,1855.0,3610.0,15293.0,16078.0,8961.0,16393.0,12085.0,15552.0,15450.0,9378.0,5330.0
DFW,11830.0,9938.0,0.0,4825.0,5329.0,12789.0,0.0,7204.0,6660.0,5967.0,1571.0,3482.0,4112.0,2614.0,11811.0,17421.0,14387.0,9305.0,54.0,2038.0,5039.0,7918.0,18192.0,7475.0,6500.0,6322.0,10069.0,8187.0,4711.0,4708.0
DTW,10460.0,7737.0,0.0,2626.0,3868.0,9190.0,7332.0,0.0,4132.0,7424.0,555.0,1372.0,4962.0,1425.0,9403.0,9126.0,9706.0,11537.0,2021.0,957.0,3077.0,4413.0,5322.0,4903.0,6066.0,4402.0,5727.0,5424.0,2073.0,5201.0
EWR,9380.0,6705.0,0.0,6007.0,872.0,7245.0,6537.0,4065.0,0.0,15573.0,1959.0,885.0,8592.0,0.0,10392.0,19761.0,0.0,21935.0,3858.0,758.0,5763.0,4349.0,11969.0,0.0,5851.0,5657.0,6925.0,23306.0,2721.0,8565.0
FLL,14241.0,7729.0,0.0,1721.0,5336.0,4965.0,6112.0,7158.0,15330.0,0.0,214.0,2235.0,4476.0,10069.0,4549.0,6069.0,15247.0,1219.0,4130.0,962.0,0.0,1542.0,8724.0,7581.0,1666.0,1923.0,2828.0,4100.0,1826.0,2221.0
HNL,1272.0,1147.0,0.0,379.0,620.0,1699.0,1616.0,574.0,2057.0,252.0,0.0,1292.0,1325.0,2189.0,4655.0,17416.0,231.0,769.0,20.0,170.0,312.0,821.0,1700.0,769.0,1894.0,4200.0,6593.0,7630.0,1623.0,375.0
