,ATL,BOS,CLT,DEN,DFW,DTW,HNL,IAH,LAS,LAX,MCO,MEM,MIA,MSP,PHL,PHX,SAN,SEA,SFO,SLC,TPA,CHI,NYC,WAS
ATL,0.0,15964.0,2218.0,13183.0,12285.0,9323.0,1397.0,7346.0,10860.0,15288.0,13293.0,2026.0,24105.0,7102.0,11354.0,5243.0,3811.0,7054.0,8406.0,3973.0,9641.0,22241.0,41796.0,26724.0
BOS,15807.0,0.0,6819.0,12626.0,9926.0,7805.0,1659.0,4381.0,7585.0,18553.0,14902.0,888.0,13349.0,9186.0,11527.0,5288.0,6780.0,9511.0,18826.0,4207.0,8029.0,24018.0,20006.0,30787.0
CLT,2365.0,7053.0,0.0,5520.0,4825.0,3528.0,348.0,2962.0,4054.0,3790.0,6569.0,1001.0,6276.0,3408.0,4999.0,2520.0,1854.0,2418.0,3089.0,1386.0,2258.0,7174.0,25201.0,10304.0
DEN,13167.0,12717.0,5429.0,0.0,13038.0,9437.0,1690.0,10143.0,15772.0,19518.0,10268.0,1973.0,9162.0,16675.0,9896.0,17166.0,11793.0,15641.0,15143.0,8926.0,6213.0,26297.0,24858.0,21809.0
DFW,12204.0,10168.0,4747.0,12837.0,0.0,7360.0,1907.0,3947.0,12223.0,19238.0,9282.0,2142.0,10578.0,7919.0,8143.0,6629.0,5666.0,9304.0,8092.0,4870.0,4591.0,18457.0,25276.0,12881.0
DTW,9338.0,7897.0,3425.0,9430.0,7309.0,0.0,757.0,4951.0,10080.0,9223.0,11879.0,1046.0,9310.0,4705.0,4974.0,5714.0,4076.0,5622.0,5318.0,2338.0,5531.0,6733.0,15680.0,10966.0
HNL,1341.0,1682.0,348.0,1658.0,1925.0,758.0,0.0,1198.0,5470.0,18763.0,972.0,181.0,603.0,826.0,651.0,2669.0,4385.0,6666.0,7513.0,1693.0,339.0,1923.0,4517.0,3247.0
IAH,7432.0,4391.0,2852.0,10201.0,3786.0,4900.0,1169.0,0.0,7459.0,11234.0,7075.0,954.0,9351.0,4573.0,4555.0,2427.0,4381.0,6066.0,4845.0,2659.0,3548.0,11170.0,16975.0,7934.0
LAS,10832.0,7442.0,4270.0,15785.0,12382.0,9817.0,5563.0,7460.0,0.0,23589.0,5476.0,1768.0,7528.0,10217.0,7439.0,8206.0,12636.0,18593.0,18154.0,6210.0,4723.0,20415.0,23476.0,12642.0
LAX,15210.0,18657.0,3545.0,19499.0,19359.0,9290.0,18308.0,11072.0,23170.0,0.0,11278.0,2108.0,14287.0,11093.0,11416.0,9832.0,701.0,23436.0,29282.0,9944.0,3426.0,30590.0,62216.0,25508.0
MCO,12883.0,14924.0,6441.0,10477.0,9191.0,11660.0,967.0,7154.0,5400.0,11207.0,0.0,2279.0,3396.0,7490.0,19633.0,3357.0,3338.0,5038.0,5251.0,3872.0,0.0,20059.0,50695.0,26200.0
MEM,2256.0,898.0,963.0,1923.0,2125.0,1006.0,180.0,1003.0,1775.0,2107.0,2257.0,0.0,1636.0,934.0,1269.0,760.0,685.0,896.0,691.0,421.0,989.0,2700.0,3215.0,2744.0
MIA,24075.0,13311.0,5999.0,9210.0,10300.0,9323.0,565.0,9509.0,7266.0,14518.0,3213.0,1690.0,0.0,3700.0,13805.0,4122.0,3199.0,4206.0,8201.0,2275.0,3944.0,19301.0,68628.0,25736.0
MSP,7144.0,9229.0,3363.0,16417.0,7992.0,4785.0,828.0,4430.0,10274.0,11101.0,7579.0,965.0,3707.0,0.0,5267.0,9252.0,5029.0,9404.0,8910.0,2759.0,3159.0,16747.0,14748.0,12862.0
PHL,11396.0,11720.0,4877.0,9693.0,8125.0,4905.0,676.0,4761.0,7619.0,11539.0,19956.0,1304.0,13659.0,5211.0,0.0,4685.0,3752.0,5136.0,8452.0,2055.0,7177.0,13977.0,117.0,130.0
PHX,5258.0,5293.0,2398.0,17363.0,6519.0,5629.0,2612.0,2441.0,8315.0,9987.0,3383.0,814.0,4220.0,9215.0,4611.0,0.0,8756.0,14672.0,7035.0,6375.0,2089.0,16676.0,14228.0,7832.0
SAN,3916.0,6829.0,1707.0,11865.0,5655.0,4192.0,4420.0,4266.0,12413.0,663.0,3364.0,638.0,3202.0,5072.0,3744.0,8644.0,0.0,15499.0,16222.0,7062.0,1610.0,11733.0,13947.0,10291.0
SEA,7026.0,9481.0,2293.0,15722.0,9277.0,5684.0,6608.0,6065.0,18682.0,23455.0,5122.0,866.0,4219.0,9457.0,5145.0,14688.0,15318.0,0.0,19244.0,7398.0,3048.0,15825.0,19551.0,13274.0
