,ABE,ABI,ABQ,ABR,ABY,ACK,ACT,ACV,ACY,ADK,ADQ,AEX,AGS,AIA,AKN,ALB,ALO,ALS,ALW,AMA,ANC,AOO,APN,ART,ASE,ATL,ATW,ATY,AUG,AUS,AVL,AVP,AZA,AZO,BDL,BET,BFD,BFF,BFL,BFM,BGM,BGR,BHB,BHM,BIL,BIS,BJI,BKG,BKW,BLI,BLV,BMI,BNA,BOI,BOS,BPT,BQK,BQN,BRD,BRO,BRW,BTM,BTR,BTV,BUF,BUR,BWI,BZN,CAE,CAK,CDB,CDC,CDR,CDV,CEC,CEZ,CGI,CHA,CHO,CHS,CID,CIU,CKB,CLE,CLL,CLT,CMH,CMI,CMX,CNM,CNY,COD,COS,COU,CPR,CPX,CRP,CRW,CSG,CVG,CVN,CWA,CYF,CYS,DAB,DAL,DAY,DBQ,DCA,DDC,DEC,DEN,DFW,DHN,DIK,DLG,DLH,DRO,DRT,DSM,DTW,DUJ,DUT,DVL,EAR,EAT,EAU,ECP,EGE,EKO,ELD,ELM,ELP,ENA,ERI,ESC,EUG,EVV,EWN,EWR,EYW,FAI,FAR,FAT,FAY,FCA,FKL,FLG,FLL,FLO,FNT,FSD,FSM,FWA,GAL,GCC,GCK,GDV,GEG,GFK,GGG,GGW,GJT,GLH,GNV,GPT,GRB,GRI,GRK,GRR,GSO,GSP,GTF,GTR,GUC,GUM,HDN,HGR,HHH,HIB,HLN,HNL,HNM,HOB,HOM,HOT,HOU,HPN,HRL,HRO,HSV,HTS,HVN,HVR,HYA,HYS,IAD,IAG,IAH,ICT,IDA,ILM,IMT,IND,INL,IPL,IPT,IRK,ISN,ISP,ITH,ITO,JAC,JAN,JAX,JFK,JHM,JLN,JMS,JNU,JST,KOA,KTN,LAN,LAR,LAS,LAW,LAX,LBB,LBE,LBF,LBL,LCH,LCK,LEB,LEX,LFT,LGA,LGB,LIH,LIT,LNK,LNS,LNY,LRD,LSE,LWB,LWS,LYH,MAF,MAZ,MBS,MCE,MCI,MCK,MCO,MDT,MDW,MEI,MEM,MFE,MFR,MGM,MGW,MHK,MHT,MIA,MKE,MKG,MKK,MKT,MLB,MLI,MLU,MMH,MOB,MOT,MQT,MRY,MSL,MSN,MSO,MSP,MSS,MSY,MTJ,MVY,MWA,MYR,OAJ,OAK,OGD,OGG,OGS,OKC,OLF,OMA,OME,ONT,OOK,ORD,ORF,ORH,OTH,OTZ,OWB,PAE,PAH,PBG,PBI,PDT,PDX,PGA,PGD,PGV,PHF,PHL,PHX,PIA,PIB,PIE,PIH,PIR,PIT,PKB,PLN,PNS,PPG,PQI,PRC,PSC,PSE,PSG,PSM,PSP,PUB,PUW,PVC,PVD,PVU,PWM,RAP,RDD,RDM,RDU,RFD,RHI,RIC,RIW,RKD,RKS,RNO,ROA,ROC,ROW,RST,RSW,RUT,SAF,SAN,SAT,SAV,SBA,SBN,SBP,SBY,SCC,SCE,SCK,SDF,SDP,SDY,SEA,SFB,SFO,SGF,SGU,SHD,SHH,SHR,SHV,SIT,SJC,SJT,SJU,SLC,SLK,SLN,SMF,SMX,SNA,SOW,SPI,SPN,SPS,SRQ,STC,STL,STS,STT,STX,SUN,SUX,SWF,SWO,SYR,TBN,TEX,TLH,TOL,TPA,TRI,TTN,TUL,TUP,TUS,TVC,TVF,TWF,TXK,TYR,TYS,UIN,USA,VCT,VDZ,VEL,VLD,VPS,VQS,WRG,WYS,XNA,XWA,YAK,YKM,YUM,GST,IWD,MCN
ABE,0,1,11,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,5,0,0,0,0,58,9,0,0,12,4,0,0,1,0,0,0,0,2,0,0,0,0,15,1,0,1,0,0,0,0,2,113,2,2,0,0,0,0,0,0,0,2,0,0,2,0,15,7,0,0,0,0,0,0,0,0,13,0,9,6,1,0,4,0,139,19,2,0,0,0,0,3,3,0,0,0,0,0,18,0,3,0,0,8,0,9,1,1,0,0,37,56,0,0,0,0,0,0,9,51,0,0,0,0,0,0,4,0,0,0,0,6,0,0,2,1,4,2,0,5,0,6,3,1,1,0,2,31,1,0,4,1,5,0,0,0,0,1,0,0,0,2,0,6,2,7,0,1,17,8,20,0,0,0,0,0,0,11,0,0,7,0,0,0,0,2,0,1,0,6,1,0,0,0,0,0,0,21,2,0,15,3,33,0,0,0,1,0,0,0,0,10,4,14,0,0,0,0,0,0,0,0,3,0,33,0,54,1,0,0,0,1,0,0,6,3,0,0,0,7,0,0,0,0,5,0,0,0,1,0,0,0,34,0,38,0,23,0,26,2,2,0,0,1,0,19,19,0,0,0,3,3,0,0,2,3,0,0,0,12,2,38,0,15,1,0,0,336,7,0,0,1,0,11,0,17,0,6,0,73,0,0,0,0,0,0,0,0,28,0,33,0,273,1,0,0,65,1,0,429,0,0,1,0,4,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,29,0,1,0,0,0,0,1,2,0,0,4,15,0,0,39,35,88,2,5,1,0,0,0,0,21,0,0,33,689,26,14,1,0,0,0,1,0,5,0,2,37,0,0,11,0,12,0,0,0,0,51,0,19,0,1,0,0,2,0,0,0,0,0,5,0,49,4,0,11,0,9,6,0,0,0,0,14,0,0,0,0,0,1,6,0,0,0,13,0,0,0,1,0,0,0
ABI,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,2,0,0,0,1,22,1,0,0,1,2,2,0,0,3,0,0,0,2,0,0,0,0,8,3,6,0,0,0,0,0,0,24,8,7,1,0,0,0,2,0,0,2,0,1,3,7,4,4,0,0,0,0,0,0,0,0,2,0,3,4,0,0,15,2,25,12,0,0,0,0,0,3,0,0,0,7,2,0,5,0,0,0,0,2,0,11,0,21,0,0,33,12,0,0,0,0,2,0,8,7,0,0,0,0,0,0,10,2,0,0,0,8,0,1,0,2,1,0,5,2,1,3,5,2,4,0,1,7,0,0,7,0,2,0,0,0,0,6,0,0,0,1,0,3,4,3,1,0,10,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,0,4,0,5,0,0,0,0,0,3,0,18,4,0,4,0,8,0,0,0,0,0,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,41,0,14,0,0,0,0,0,0,0,4,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,25,4,0,0,12,7,2,2,0,0,1,7,9,0,0,0,0,4,1,0,2,0,1,1,0,3,2,10,0,12,1,0,0,1,3,0,0,0,0,3,0,12,0,24,0,13,11,0,0,0,0,0,0,0,2,0,15,0,0,0,2,9,26,3,0,0,0,0,16,0,0,11,0,0,0,2,0,0,0,2,0,0,0,4,0,3,4,0,1,12,0,0,7,0,0,0,5,3,1,0,1,9,0,0,17,4,4,0,1,1,1,0,1,0,13,0,0,30,0,5,4,0,0,0,0,1,0,5,0,2,19,0,0,18,0,4,0,3,0,0,1,0,16,1,0,0,0,0,0,0,5,0,0,4,0,16,0,0,3,0,7,6,0,0,0,1,9,0,0,0,0,0,0,16,0,0,0,6,0,0,0,2,0,0,0
ABQ,11,5,0,0,0,0,8,3,0,0,0,9,13,0,0,44,0,0,3,0,110,0,0,0,2,282,14,2,0,291,16,13,0,0,70,0,0,0,10,0,0,2,0,53,22,17,4,0,0,5,0,4,152,93,163,3,0,0,1,7,0,4,23,12,38,103,332,35,21,3,0,0,0,1,0,0,0,20,9,42,15,0,1,81,5,123,73,2,0,0,0,5,4,3,6,0,17,5,2,61,0,6,0,0,4,661,30,0,201,0,0,756,507,1,0,0,4,0,1,35,174,1,0,1,0,2,0,43,0,11,0,1,0,0,0,0,29,9,1,155,7,17,20,20,7,12,0,0,111,2,5,28,6,8,0,0,0,0,130,0,2,0,1,0,15,15,13,3,8,79,17,27,28,0,0,2,0,0,1,2,5,35,0,0,0,0,256,3,11,0,21,1,0,0,0,0,75,0,247,30,14,21,2,105,0,0,0,0,0,12,7,0,9,11,52,41,0,4,1,9,0,5,6,1,0,968,2,643,1,0,1,0,7,0,0,16,13,230,26,0,38,2,0,0,4,10,0,1,0,10,0,2,0,152,1,264,17,293,0,60,15,26,4,0,4,44,91,78,0,0,0,5,8,5,0,10,16,5,10,0,35,37,216,0,106,1,0,0,13,7,290,0,7,0,38,0,75,0,115,0,236,85,0,0,2,0,1,0,0,31,0,410,0,0,1,3,160,1048,7,0,0,5,1,82,0,1,63,0,1,0,24,0,0,0,9,1,2,0,40,0,34,18,4,18,130,0,0,45,2,0,1,116,9,23,0,2,50,0,0,351,209,32,11,13,9,2,1,0,0,64,0,0,645,11,174,28,14,0,0,0,12,2,111,4,25,299,0,0,188,0,122,0,6,0,3,11,0,155,3,2,1,0,1,1,0,23,0,0,7,0,163,5,0,68,0,8,12,0,10,2,5,27,0,0,0,0,0,2,45,0,1,2,17,5,0,1,4,0,0,0
ABR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,11,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,8,4,0,0,0,0,0,0,0,1,2,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,0,0,11,18,0,0,0,1,0,0,1,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,4,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,5,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,8,0,0,0,2,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,22,0,1,0,0,0,2,0,0,0,1,0,10,0,0,0,3,0,10,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,7,22,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,4,0,1,0,0,5,0,0,6,5,0,0,2,0,0,0,1,0,3,0,0,9,0,7,0,0,0,0,0,0,0,2,0,0,8,0,0,11,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,2,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,2,0,0,6,0,0,6,14,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,3,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,1,0,0,3,0,0,0,0,0,0,9,7,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,1,2,0,0,0,0,3,0,2,0,4,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,7,0,0,0,0,1,1,0,0,2,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,3,0,0,10,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ACK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,71,0,0,0,0,0,0,0,0,0,6,0,0,3,3,1,0,0,0,0,0,0,0,2,2,15,2,0,0,7,0,27,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,359,0,0,21,47,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,1,0,5,0,5,0,0,0,0,0,0,0,0,1,1,7,361,0,0,0,0,0,0,0,0,0,2,0,38,0,0,0,0,0,0,0,1,0,290,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,5,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,74,5,0,0,0,0,0,0,0,20,0,3,0,0,1,2,40,8,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,1,0,8,0,0,12,0,0,2,2,4,1,0,0,0,0,0,0,5,0,0,2,0,36,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,1,0,0,0,0,1,0,3,0,1,0,0,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ACT,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,9,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,5,3,0,0,0,0,0,0,0,10,2,6,0,0,0,0,0,0,0,0,0,0,4,3,4,2,3,0,0,0,0,0,0,0,1,0,4,4,0,0,5,0,12,4,1,0,0,0,0,7,2,0,0,1,0,0,3,0,0,0,0,0,0,4,0,13,0,0,21,1,0,0,0,0,2,0,3,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,1,0,1,0,0,3,0,0,4,0,1,0,0,1,0,3,0,0,0,4,0,0,1,1,1,0,1,5,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,3,0,7,0,0,0,0,0,0,0,0,6,7,8,1,0,0,0,0,0,0,0,0,0,11,0,10,1,0,0,0,0,0,0,4,3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,0,7,1,1,2,0,1,1,5,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,13,0,1,2,0,0,1,1,0,0,0,0,0,0,5,0,11,0,7,3,0,0,0,0,0,0,0,4,0,7,0,0,1,0,7,18,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,7,0,0,5,0,0,0,9,1,0,1,1,2,0,2,24,0,5,2,3,2,1,0,0,0,7,0,0,12,0,2,4,0,0,0,0,0,0,7,0,1,10,0,0,12,0,22,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,3,0,4,2,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0
ACV,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16,1,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,7,11,0,0,0,0,0,0,0,2,1,0,8,10,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,3,6,0,1,0,0,2,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,30,9,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,22,0,0,1,6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,17,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,27,0,187,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,8,0,11,3,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,1,0,3,0,22,0,3,0,0,0,0,0,0,0,1,0,1,0,4,0,16,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,48,2,3,8,0,11,0,0,1,0,1,0,0,16,0,42,2,1,0,0,0,1,0,0,0,0,13,0,0,3,0,24,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ACY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
